id,Hardness
10407,2.6947916666666676
10408,2.6161458333333383
10409,5.999999999999997
10410,4.427604166666662
10411,5.448697916666661
10412,5.254166666666659
10413,3.8994791666666604
10414,5.061458333333328
10415,3.1828124999999985
10416,4.917708333333328
10417,4.0296875
10418,4.270833333333322
10419,5.94114583333333
10420,4.59583333333333
10421,5.548437499999994
10422,5.40989583333333
10423,3.7984374999999986
10424,5.175781249999996
10425,5.449999999999997
10426,2.4968750000000015
10427,4.885416666666667
10428,4.4005208333333306
10429,5.554427083333327
10430,3.601562499999998
10431,3.6713541666666654
10432,5.540104166666662
10433,5.669270833333329
10434,5.013541666666662
10435,5.795312499999995
10436,5.595312499999994
10437,5.62395833333333
10438,6.1708333333333245
10439,5.755208333333329
10440,3.828906249999998
10441,2.6276041666666683
10442,4.107291666666662
10443,2.2776041666666678
10444,3.6442708333333313
10445,5.218749999999997
10446,3.648437499999995
10447,5.211979166666665
10448,5.691145833333331
10449,4.166666666666663
10450,5.869270833333332
10451,5.371874999999997
10452,2.8411458333333353
10453,5.730729166666664
10454,5.0526041666666615
10455,2.5515625000000033
10456,2.9265625000000006
10457,2.5072916666666676
10458,9.789583333333333
10459,5.398437499999999
10460,3.3885416666666663
10461,5.723697916666661
10462,5.322395833333329
10463,5.588020833333331
10464,5.444791666666663
10465,2.9119791666666672
10466,5.863541666666663
10467,5.464583333333331
10468,3.7671874999999972
10469,3.8130208333333258
10470,4.863020833333331
10471,5.974999999999995
10472,2.3515625000000013
10473,5.685416666666665
10474,3.6111979166666646
10475,5.74999999999999
10476,3.2515625
10477,5.664583333333329
10478,4.185937499999994
10479,4.881249999999985
10480,3.6312499999999983
10481,3.7963541666666614
10482,5.934895833333333
10483,5.724999999999995
10484,1.8802083333333381
10485,3.677604166666665
10486,1.54375
10487,2.544791666666668
10488,5.627864583333332
10489,4.466145833333328
10490,4.151041666666663
10491,5.908854166666663
10492,6.154166666666665
10493,2.588541666666669
10494,3.632291666666664
10495,3.4156249999999972
10496,3.4770833333333315
10497,5.608333333333327
10498,6.042968749999997
10499,5.951562499999993
10500,3.7880208333333307
10501,2.783333333333335
10502,8.771875
10503,5.81458333333332
10504,5.550520833333329
10505,2.5822916666666678
10506,3.174999999999999
10507,5.934895833333331
10508,2.6416666666666697
10509,2.729687500000002
10510,4.083333333333333
10511,1.9130208333333367
10512,4.692187499999991
10513,4.674479166666662
10514,3.9156249999999937
10515,2.711458333333336
10516,3.405729166666666
10517,5.336979166666662
10518,4.657812499999995
10519,5.855729166666662
10520,5.499999999999999
10521,4.618749999999998
10522,5.162499999999995
10523,5.1718749999999964
10524,3.2015624999999996
10525,3.397916666666664
10526,2.6942708333333365
10527,4.658333333333329
10528,5.857291666666662
10529,4.538541666666661
10530,3.980729166666664
10531,5.398958333333326
10532,4.427083333333331
10533,4.766666666666662
10534,6.833854166666665
10535,4.435416666666665
10536,4.218749999999996
10537,5.279687499999986
10538,5.643749999999994
10539,5.303645833333332
10540,3.230208333333332
10541,2.5927083333333343
10542,4.099999999999997
10543,5.792187499999998
10544,4.273437499999996
10545,4.796874999999992
10546,5.308854166666664
10547,5.264062499999998
10548,5.124479166666659
10549,4.345312499999996
10550,5.577083333333328
10551,4.735937499999996
10552,4.8145833333333306
10553,5.465624999999996
10554,3.7239583333333335
10555,2.447395833333337
10556,5.3239583333333265
10557,5.722395833333329
10558,5.249999999999997
10559,4.067708333333328
10560,2.4994791666666667
10561,4.556249999999994
10562,5.490624999999997
10563,3.6166666666666636
10564,2.518750000000001
10565,2.84921875
10566,3.4776041666666635
10567,3.8296874999999972
10568,3.8098958333333317
10569,4.42239583333333
10570,5.443749999999998
10571,5.969791666666665
10572,5.592708333333328
10573,4.408854166666663
10574,2.605208333333334
10575,3.5531249999999965
10576,1.8000000000000063
